package	candidate_version	request_state
abiword	3.0.6~dfsg-1	requested-selected
adduser	3.152	requested-selected
alacritty	0.15.1-3	requested-selected
apt	3.0.3	requested-selected
apt-listchanges	4.8	requested-selected
apt-transport-https	3.0.3	requested-selected
apt-utils	3.0.3	requested-selected
audacious	4.4.2-1	requested-selected
baobab	48.0-2+b1	requested-selected
base-files	13.8+deb13u6	requested-selected
base-passwd	3.6.7	requested-selected
bash	5.2.37-2+b9	requested-selected
bash-completion	1:2.16.0-7	requested-selected
bind9-dnsutils	1:9.20.26-1~deb13u1	requested-selected
bind9-host	1:9.20.26-1~deb13u1	requested-selected
binutils	2.44-3	requested-selected
bsdutils	1:2.41.5-0+deb13u1	requested-selected
btrfs-progs	6.14-1	requested-selected
build-essential	12.12	requested-selected
busybox	1:1.37.0-6+b8	requested-selected
bzip2	1.0.8-6	requested-selected
ca-certificates	20250419	requested-selected
calligra	1:25.04.2+dfsg-1	requested-selected
calligraplan	1:3.3.0-3	requested-selected
calligrasheets	1:25.04.2+dfsg-1	requested-selected
calligrastage	1:25.04.2+dfsg-1	requested-selected
calligrawords	1:25.04.2+dfsg-1	requested-selected
cargo	1.85.0+dfsg3-1	requested-selected
cifs-utils	2:7.4-1	requested-selected
clang	1:19.0-63	requested-selected
claws-mail	4.3.1-1	requested-selected
clementine	1.4.1+git27-g658f34ec4+dfsg-3	requested-selected
cmake	3.31.6-2	requested-selected
code	metadata-unavailable	unresolved-or-virtual
coinor-libcoinmp0	1.8.4+dfsg-2	requested-selected
colord	1.4.7-3	requested-selected
console-setup	1.242~deb13u1	requested-selected
coreutils	9.7-3	requested-selected
cpio	2.15+dfsg-2	requested-selected
cron	3.0pl1-197	requested-selected
cron-daemon-common	3.0pl1-197	requested-selected
cups	2.4.10-3+deb13u2	requested-selected
curl	8.14.1-2+deb13u4	requested-selected
dash	0.5.12-12	requested-selected
dbus	1.16.2-2	requested-selected
dbus-x11	1.16.2-2	requested-selected
dconf-gsettings-backend	0.40.0-5	requested-selected
debconf	1.5.91	requested-selected
debconf-i18n	1.5.91	requested-selected
debian-archive-keyring	2025.1	requested-selected
debian-faq	12.2	requested-selected
debianutils	5.23.2	requested-selected
dhcpcd-base	1:10.1.0-11+deb13u3	requested-selected
diffutils	1:3.10-4	requested-selected
dino-im	0.5.0-1	requested-selected
dmidecode	3.6-2	requested-selected
doc-debian	11.3+nmu1	requested-selected
dosfstools	4.2-1.2	requested-selected
dpkg	1.22.22	requested-selected
e2fsprogs	1.47.2-3+b11	requested-selected
enlightenment	0.27.1-1	requested-selected
ephoto	1.6.0-1+b1	requested-selected
exfatprogs	1.2.9-1+deb13u1	requested-selected
facter	4.10.0-1	requested-selected
fdisk	2.41.5-0+deb13u1	requested-selected
file	1:5.46-5	requested-selected
findutils	4.10.0-3	requested-selected
firefox-esr	140.13.0esr-1~deb13u1	requested-selected
firewall-config	2.3.1-1+deb13u1	requested-selected
fontconfig	2.15.0-2.3	requested-selected
fontconfig-config	2.15.0-2.3	requested-selected
