package	candidate_version	selection_state
accountsservice	23.13.9-7	selected
acl	2.3.2-2+b1	selected
adduser	3.152	selected
alacritty	0.15.1-3	selected
apt-listchanges	4.8	selected
apt-transport-https	3.0.3	selected
apt-utils	3.0.3	selected
at-spi2-core	2.56.2-1+deb13u1	selected
audacious	4.4.2-1	selected
audacious-plugins	4.4.2-2+b1	selected
audacious-plugins-data	4.4.2-2	selected
baobab	48.0-2+b1	selected
bash-completion	1:2.16.0-7	selected
bc	1.07.1-4	selected
bind9-dnsutils	1:9.20.26-1~deb13u1	selected
bind9-host	1:9.20.26-1~deb13u1	selected
bind9-libs	1:9.20.26-1~deb13u1	selected
bsdextrautils	2.41.5-0+deb13u1	selected
bsdutils	1:2.41.5-0+deb13u1	selected
btrfs-progs	6.14-1	selected
bubblewrap	0.11.0-2+deb13u1	selected
build-essential	12.12	selected
busybox	1:1.37.0-6+b8	selected
caja	1.26.4-1	selected
caja-common	1.26.4-1	selected
calligra	1:25.04.2+dfsg-1	selected
calligra-data	1:25.04.2+dfsg-1	selected
calligra-libs	1:25.04.2+dfsg-1	selected
calligraplan	1:3.3.0-3	selected
calligrasheets	1:25.04.2+dfsg-1	selected
calligrasheets-data	1:25.04.2+dfsg-1	selected
calligrastage	1:25.04.2+dfsg-1	selected
calligrastage-data	1:25.04.2+dfsg-1	selected
calligrawords	1:25.04.2+dfsg-1	selected
calligrawords-data	1:25.04.2+dfsg-1	selected
cargo	1.85.0+dfsg3-1	selected
cifs-utils	2:7.4-1	selected
clang	1:19.0-63	selected
clang-19	1:19.1.7-3+b1	selected
claws-mail	4.3.1-1	selected
clementine	1.4.1+git27-g658f34ec4+dfsg-3	selected
cmake	3.31.6-2	selected
cmake-data	3.31.6-2	selected
coinor-libcbc3.1	2.10.12+ds-1	selected
coinor-libcgl1	0.60.9+ds-1	selected
coinor-libclp1	1.17.10+ds-1	selected
coinor-libcoinmp0	1.8.4+dfsg-2	selected
coinor-libcoinutils3v5	2.11.11+ds-5	selected
coinor-libosi1v5	0.108.10+ds-2	selected
colord	1.4.7-3	selected
colord-data	1.4.7-3	selected
console-setup	1.242~deb13u1	selected
console-setup-linux	1.242~deb13u1	selected
cpio	2.15+dfsg-2	selected
cpp	4:14.2.0-1	selected
cpp-14	14.2.0-19	selected
cpp-14-x86-64-linux-gnu	14.2.0-19	selected
cpp-x86-64-linux-gnu	4:14.2.0-1	selected
cron	3.0pl1-197	selected
cron-daemon-common	3.0pl1-197	selected
cups	2.4.10-3+deb13u2	selected
cups-client	2.4.10-3+deb13u2	selected
cups-common	2.4.10-3+deb13u2	selected
cups-core-drivers	2.4.10-3+deb13u2	selected
cups-daemon	2.4.10-3+deb13u2	selected
cups-filters	1.28.17-6+deb13u1	selected
cups-filters-core-drivers	1.28.17-6+deb13u1	selected
cups-ipp-utils	2.4.10-3+deb13u2	selected
cups-ppdc	2.4.10-3+deb13u2	selected
cups-server-common	2.4.10-3+deb13u2	selected
curl	8.14.1-2+deb13u4	selected
dbus-x11	1.16.2-2	selected
debconf-i18n	1.5.91	selected
debian-faq	12.2	selected
debian-mate-default-settings	1.26.1-2	selected
desktop-base	13.0.4	selected
desktop-file-utils	0.28-1	selected
dhcpcd-base	1:10.1.0-11+deb13u3	selected
dino-im	0.5.0-1	selected
dino-im-common	0.5.0-1	selected
distro-info-data	0.66+deb13u2	selected
dmeventd	2:1.02.205-2	selected
dmidecode	3.6-2	selected
dmsetup	2:1.02.205-2	selected
doc-debian	11.3+nmu1	selected
dosfstools	4.2-1.2	selected
dracut-install	106-6	selected
e2fsprogs	1.47.2-3+b11	selected
enlightenment	0.27.1-1	selected
enlightenment-data	0.27.1-1	selected
ephoto	1.6.0-1+b1	selected
exfatprogs	1.2.9-1+deb13u1	selected
exo-utils	4.20.0-1	selected
facter	4.10.0-1	selected
fdisk	2.41.5-0+deb13u1	selected
firefox-esr	140.13.0esr-1~deb13u1	selected
firewall-config	2.3.1-1+deb13u1	selected
firewalld	2.3.1-1+deb13u1	selected
fonts-cantarell	0.303.1-4	selected
fonts-dejavu-core	2.37-8	selected
fonts-dejavu-mono	2.37-8	selected
fonts-opensymbol	4:102.12+LibO25.2.3-2+deb13u6	selected
fonts-quicksand	0.2016-2.1	selected
g++	4:14.2.0-1	selected
g++-14	14.2.0-19	selected
g++-14-x86-64-linux-gnu	14.2.0-19	selected
g++-x86-64-linux-gnu	4:14.2.0-1	selected
gajim	2.1.1-2	selected
galculator	2.1.4-2	selected
gcc	4:14.2.0-1	selected
gcc-14	14.2.0-19	selected
gcc-14-x86-64-linux-gnu	14.2.0-19	selected
gcc-x86-64-linux-gnu	4:14.2.0-1	selected
geany	2.0-2	selected
geany-common	2.0-2	selected
geocode-glib-common	3.26.4-1	selected
gettext-base	0.23.1-2	selected
ghostscript	10.05.1~dfsg-1+deb13u1	selected
gimp	3.0.4-3+deb13u9	selected
gimp-data	3.0.4-3+deb13u9	selected
gir1.2-atk-1.0	2.56.2-1+deb13u1	selected
gir1.2-babl-0.1	1:0.1.114-2	selected
gir1.2-freedesktop	1.84.0-1	selected
gir1.2-gdkpixbuf-2.0	2.42.12+dfsg-4+deb13u1	selected
gir1.2-gegl-0.4	1:0.4.62-2+deb13u2	selected
gir1.2-gimp-3.0	3.0.4-3+deb13u9	selected
gir1.2-girepository-2.0	1.84.0-1	selected
gir1.2-glib-2.0	2.84.4-3~deb13u3	selected
gir1.2-graphene-1.0	1.10.8-5	selected
gir1.2-gst-plugins-base-1.0	1.26.2-1+deb13u1	selected
gir1.2-gstreamer-1.0	1.26.2-2	selected
gir1.2-gtk-3.0	3.24.49-3	selected
gir1.2-gtk-4.0	4.18.6+ds-2	selected
gir1.2-gtksource-4	4.8.4-6	selected
gir1.2-gtksource-5	5.16.0-1	selected
gir1.2-handy-1	1.8.3-2	selected
gir1.2-harfbuzz-0.0	10.2.0-1+deb13u1	selected
gir1.2-javascriptcoregtk-4.1	2.52.5-1~deb13u1	selected
gir1.2-matemenu-2.0	1.26.1-1+b2	selected
gir1.2-nm-1.0	1.52.1-1	selected
gir1.2-notify-0.7	0.8.6-1	selected
gir1.2-packagekitglib-1.0	1.3.1-1+deb13u1	selected
gir1.2-pango-1.0	1.56.3-1	selected
gir1.2-peas-1.0	1.36.0-3+b4	selected
gir1.2-pluma-1.0	1.26.1-2.1	selected
gir1.2-polkit-1.0	126-2	selected
gir1.2-soup-3.0	3.6.5-3	selected
gir1.2-webkit2-4.1	2.52.5-1~deb13u1	selected
git	1:2.47.3-0+deb13u1	selected
