substrate_id	tier	package	candidate_version	provider_state
base-c-abi	base-runtime	Libc6	2.41-12+deb13u3	selected-provider
base-c-abi	base-runtime	LibgccS1	14.2.0-19	selected-provider
base-c-abi	base-runtime	GCC14Base	14.2.0-19	selected-provider
base-c-abi	base-runtime	Libstdc6	14.2.0-19	selected-provider
base-c-abi	base-runtime	Libatomic1	14.2.0-19	selected-provider
base-c-abi	base-runtime	Libseccomp2	2.6.0-2	selected-provider
base-c-abi	base-runtime	Zlib1g	1:1.3.dfsg+really1.3.1-1+b1	selected-provider
crypto-trust	security-runtime	OpenSSL	3.5.6-1~deb13u2	selected-provider
crypto-trust	security-runtime	Libssl3t64	3.5.6-1~deb13u2	selected-provider
crypto-trust	security-runtime	Libcrypto3t64	3.5.6-1~deb13u2	selected-provider
crypto-trust	security-runtime	CACerts	20250419	selected-provider
crypto-trust	security-runtime	Curl	8.14.1-2+deb13u4	selected-provider
crypto-trust	security-runtime	Libcurl4t64	8.14.1-2+deb13u4	selected-provider
desktop-foundation	desktop-runtime	DBus	1.16.2-2	selected-provider
desktop-foundation	desktop-runtime	PAM	1.7.0-5	selected-provider
desktop-foundation	desktop-runtime	Polkit	126-2	selected-provider
desktop-foundation	desktop-runtime	Udev	257.13-1~deb13u1	selected-provider
desktop-foundation	desktop-runtime	Systemd	257.13-1~deb13u1	selected-provider
desktop-foundation	desktop-runtime	AuzixServiceRuntime	metadata-unavailable	auzix-or-unresolved
x11-input-video	desktop-runtime	Xorg	1:7.7+24+deb13u1	selected-provider
x11-input-video	desktop-runtime	XorgServer	2:21.1.16-1.3+deb13u3	selected-provider
x11-input-video	desktop-runtime	Libinput10	1.28.1-1+deb13u1	selected-provider
x11-input-video	desktop-runtime	Libxkbcommon0	1.7.0-2	selected-provider
x11-input-video	desktop-runtime	Libx116	2:1.8.12-1	selected-provider
x11-input-video	desktop-runtime	Libxcb1	1.17.0-2+b1	selected-provider
x11-input-video	desktop-runtime	Mesa	9.0.0-2+b2	selected-provider
efl-enlightenment	desktop-runtime	EFL	metadata-unavailable	auzix-or-unresolved
efl-enlightenment	desktop-runtime	Enlightenment	0.27.1-1	selected-provider
efl-enlightenment	desktop-runtime	Libeina1t64	1.28.1-1	selected-provider
efl-enlightenment	desktop-runtime	Libevas1	1.28.1-1	selected-provider
efl-enlightenment	desktop-runtime	Libedje1	1.28.1-1	selected-provider
efl-enlightenment	desktop-runtime	Libefreet1a	1.28.1-1	selected-provider
efl-enlightenment	desktop-runtime	Libelementary1	1.28.1-1	selected-provider
efl-enlightenment	desktop-runtime	Terminology	1.14.0-1	selected-provider
gtk-gnome-cache	desktop-runtime	GLib	2.84.4-3~deb13u3	selected-provider
gtk-gnome-cache	desktop-runtime	GTK3	3.24.49-3	selected-provider
gtk-gnome-cache	desktop-runtime	GTK4	4.18.6+ds-2	selected-provider
gtk-gnome-cache	desktop-runtime	GSettingsDesktopSchemas	48.0-1	selected-provider
gtk-gnome-cache	desktop-runtime	DesktopFileUtils	0.28-1	selected-provider
gtk-gnome-cache	desktop-runtime	SharedMimeInfo	2.4-5+b2	selected-provider
gtk-gnome-cache	desktop-runtime	GtkUpdateIconCache	4.18.6+ds-2	selected-provider
gtk-gnome-cache	desktop-runtime	GdkPixbufLoaders	2.42.12+dfsg-4+deb13u1	selected-provider
gtk-gnome-cache	desktop-runtime	Fontconfig	2.15.0-2.3	selected-provider
gtk-gnome-cache	desktop-runtime	Freetype	2.13.3+dfsg-1+deb13u1	selected-provider
gtk-gnome-cache	desktop-runtime	Pango	1.56.3-1	selected-provider
gtk-gnome-cache	desktop-runtime	Cairo	1.18.4-1+b1	selected-provider
gtk-gnome-cache	desktop-runtime	Harfbuzz	10.2.0-1+deb13u1	selected-provider
