order	tier	phase	name	source_package	mode
1	base	00-bootstrap-runtime	BusyBox	busybox	base-dev-first
2	base	00-bootstrap-runtime	Lua	lua	base-dev-first
3	base	00-bootstrap-runtime	CACerts	ca-certificates	base-dev-first
4	base	01-source-fetch	Zlib	zlib	base-dev-first
5	base	01-source-fetch	OpenSSL	openssl	base-dev-first
6	base	01-source-fetch	Curl	curl	base-dev-first
7	base	02-build-toolchain	PkgConfig	pkgconf	base-dev-first
8	base	02-build-toolchain	Make	make-dfsg	base-dev-first
9	base	02-build-toolchain	CMake	cmake	base-dev-first
10	base	02-build-toolchain	Meson	meson	base-dev-first
11	base	02-build-toolchain	Ninja	ninja-build	base-dev-first
12	base	03-core-libraries	LibFFI	libffi	base-dev-first
13	base	03-core-libraries	PCRE2	pcre2	base-dev-first
14	base	03-core-libraries	LibXML2	libxml2	base-dev-first
15	base	03-core-libraries	LibPNG	libpng1.6	base-dev-first
16	base	03-core-libraries	JPEG	libjpeg-turbo	base-dev-first
17	base	03-core-libraries	Freetype	freetype	base-dev-first
18	base	03-core-libraries	Fontconfig	fontconfig	base-dev-first
19	base	04-x11-base	XorgProto	xorgproto	base-dev-first
20	base	04-x11-base	XCBProto	xcb-proto	base-dev-first
21	base	04-x11-base	LibXau	libxau	base-dev-first
22	base	04-x11-base	LibXdmcp	libxdmcp	base-dev-first
23	base	04-x11-base	LibXCB	libxcb	base-dev-first
24	base	04-x11-base	Xtrans	xtrans	base-dev-first
25	base	04-x11-base	LibX11	libx11	base-dev-first
26	base	04-x11-base	XorgServer	xorg-server	base-dev-first
27	base	05-efl-edge	GLib	glib2.0	base-dev-first
28	base	05-efl-edge	DBus	dbus	base-dev-first
29	base	05-efl-edge	Pixman	pixman	base-dev-first
30	base	05-efl-edge	Cairo	cairo	base-dev-first
31	base	05-efl-edge	EFL	efl	base-dev-first
32	app-request	requested-profile	abiword	abiword	after-auzix-native-container
33	app-request	requested-profile	adduser	adduser	after-auzix-native-container
34	app-request	requested-profile	alacritty	alacritty	after-auzix-native-container
35	app-request	requested-profile	apt	apt	after-auzix-native-container
36	app-request	requested-profile	apt-listchanges	apt-listchanges	after-auzix-native-container
37	app-request	requested-profile	apt-transport-https	apt-transport-https	after-auzix-native-container
38	app-request	requested-profile	apt-utils	apt-utils	after-auzix-native-container
39	app-request	requested-profile	audacious	audacious	after-auzix-native-container
40	app-request	requested-profile	baobab	baobab	after-auzix-native-container
41	app-request	requested-profile	base-files	base-files	after-auzix-native-container
42	app-request	requested-profile	base-passwd	base-passwd	after-auzix-native-container
43	app-request	requested-profile	bash	bash	after-auzix-native-container
44	app-request	requested-profile	bash-completion	bash-completion	after-auzix-native-container
45	app-request	requested-profile	bind9-dnsutils	bind9-dnsutils	after-auzix-native-container
46	app-request	requested-profile	bind9-host	bind9-host	after-auzix-native-container
47	app-request	requested-profile	binutils	binutils	after-auzix-native-container
48	app-request	requested-profile	bsdutils	bsdutils	after-auzix-native-container
49	app-request	requested-profile	btrfs-progs	btrfs-progs	after-auzix-native-container
50	app-request	requested-profile	bubblewrap	bubblewrap	after-auzix-native-container
51	app-request	requested-profile	build-essential	build-essential	after-auzix-native-container
52	app-request	requested-profile	busybox	busybox	after-auzix-native-container
53	app-request	requested-profile	bzip2	bzip2	after-auzix-native-container
54	app-request	requested-profile	ca-certificates	ca-certificates	after-auzix-native-container
55	app-request	requested-profile	calligra	calligra	after-auzix-native-container
56	app-request	requested-profile	calligraplan	calligraplan	after-auzix-native-container
57	app-request	requested-profile	calligrasheets	calligrasheets	after-auzix-native-container
58	app-request	requested-profile	calligrastage	calligrastage	after-auzix-native-container
59	app-request	requested-profile	calligrawords	calligrawords	after-auzix-native-container
60	app-request	requested-profile	cargo	cargo	after-auzix-native-container
61	app-request	requested-profile	cifs-utils	cifs-utils	after-auzix-native-container
62	app-request	requested-profile	clang	clang	after-auzix-native-container
63	app-request	requested-profile	claws-mail	claws-mail	after-auzix-native-container
64	app-request	requested-profile	clementine	clementine	after-auzix-native-container
65	app-request	requested-profile	cmake	cmake	after-auzix-native-container
66	app-request	requested-profile	code	code	after-auzix-native-container
67	app-request	requested-profile	coinor-libcoinmp0	coinor-libcoinmp0	after-auzix-native-container
68	app-request	requested-profile	colord	colord	after-auzix-native-container
69	app-request	requested-profile	console-setup	console-setup	after-auzix-native-container
70	app-request	requested-profile	coreutils	coreutils	after-auzix-native-container
71	app-request	requested-profile	cpio	cpio	after-auzix-native-container
72	app-request	requested-profile	cron	cron	after-auzix-native-container
73	app-request	requested-profile	cron-daemon-common	cron-daemon-common	after-auzix-native-container
74	app-request	requested-profile	cups	cups	after-auzix-native-container
75	app-request	requested-profile	curl	curl	after-auzix-native-container
76	app-request	requested-profile	dash	dash	after-auzix-native-container
77	app-request	requested-profile	dbus	dbus	after-auzix-native-container
78	app-request	requested-profile	dbus-x11	dbus-x11	after-auzix-native-container
79	app-request	requested-profile	dconf-gsettings-backend	dconf-gsettings-backend	after-auzix-native-container
80	app-request	requested-profile	debconf	debconf	after-auzix-native-container
81	app-request	requested-profile	debconf-i18n	debconf-i18n	after-auzix-native-container
82	app-request	requested-profile	debian-archive-keyring	debian-archive-keyring	after-auzix-native-container
83	app-request	requested-profile	debian-faq	debian-faq	after-auzix-native-container
84	app-request	requested-profile	debianutils	debianutils	after-auzix-native-container
85	app-request	requested-profile	dhcpcd-base	dhcpcd-base	after-auzix-native-container
86	app-request	requested-profile	diffutils	diffutils	after-auzix-native-container
87	app-request	requested-profile	dino-im	dino-im	after-auzix-native-container
88	app-request	requested-profile	dmidecode	dmidecode	after-auzix-native-container
89	app-request	requested-profile	doc-debian	doc-debian	after-auzix-native-container
90	app-request	requested-profile	dosfstools	dosfstools	after-auzix-native-container
91	app-request	requested-profile	dpkg	dpkg	after-auzix-native-container
92	app-request	requested-profile	e2fsprogs	e2fsprogs	after-auzix-native-container
93	app-request	requested-profile	enlightenment	enlightenment	after-auzix-native-container
94	app-request	requested-profile	ephoto	ephoto	after-auzix-native-container
95	app-request	requested-profile	exfatprogs	exfatprogs	after-auzix-native-container
96	app-request	requested-profile	facter	facter	after-auzix-native-container
97	app-request	requested-profile	fdisk	fdisk	after-auzix-native-container
98	app-request	requested-profile	file	file	after-auzix-native-container
99	app-request	requested-profile	findutils	findutils	after-auzix-native-container
100	app-request	requested-profile	flatpak	flatpak	after-auzix-native-container
101	app-request	requested-profile	firefox-esr	firefox-esr	after-auzix-native-container
102	app-request	requested-profile	firewall-config	firewall-config	after-auzix-native-container
103	app-request	requested-profile	fontconfig	fontconfig	after-auzix-native-container
104	app-request	requested-profile	fontconfig-config	fontconfig-config	after-auzix-native-container
105	app-request	requested-profile	fonts-dejavu-core	fonts-dejavu-core	after-auzix-native-container
106	app-request	requested-profile	fonts-opensymbol	fonts-opensymbol	after-auzix-native-container
107	app-request	requested-profile	gajim	gajim	after-auzix-native-container
108	app-request	requested-profile	galculator	galculator	after-auzix-native-container
109	app-request	requested-profile	gcc	gcc	after-auzix-native-container
110	app-request	requested-profile	gcc-14-base	gcc-14-base	after-auzix-native-container
111	app-request	requested-profile	geany	geany	after-auzix-native-container
112	app-request	requested-profile	gettext-base	gettext-base	after-auzix-native-container
113	app-request	requested-profile	gimp	gimp	after-auzix-native-container
114	app-request	requested-profile	gir1.2-glib-2.0	gir1.2-glib-2.0	after-auzix-native-container
115	app-request	requested-profile	gir1.2-gtk-3.0	gir1.2-gtk-3.0	after-auzix-native-container
116	app-request	requested-profile	gir1.2-peas-1.0	gir1.2-peas-1.0	after-auzix-native-container
117	app-request	requested-profile	git	git	after-auzix-native-container
118	app-request	requested-profile	gnome-control-center	gnome-control-center	after-auzix-native-container
119	app-request	requested-profile	gnome-disk-utility	gnome-disk-utility	after-auzix-native-container
120	app-request	requested-profile	gnome-settings-daemon	gnome-settings-daemon	after-auzix-native-container
121	app-request	requested-profile	gnumeric	gnumeric	after-auzix-native-container
122	app-request	requested-profile	gnupg	gnupg	after-auzix-native-container
123	app-request	requested-profile	gparted	gparted	after-auzix-native-container
124	app-request	requested-profile	gpg	gpg	after-auzix-native-container
125	app-request	requested-profile	gpg-agent	gpg-agent	after-auzix-native-container
126	app-request	requested-profile	gpgconf	gpgconf	after-auzix-native-container
127	app-request	requested-profile	gpgsm	gpgsm	after-auzix-native-container
128	app-request	requested-profile	gpgv	gpgv	after-auzix-native-container
129	app-request	requested-profile	grep	grep	after-auzix-native-container
130	app-request	requested-profile	groff-base	groff-base	after-auzix-native-container
131	app-request	requested-profile	grub-common	grub-common	after-auzix-native-container
132	app-request	requested-profile	grub-pc	grub-pc	after-auzix-native-container
133	app-request	requested-profile	gufw	gufw	after-auzix-native-container
134	app-request	requested-profile	gzip	gzip	after-auzix-native-container
135	app-request	requested-profile	hexchat	hexchat	after-auzix-native-container
136	app-request	requested-profile	hostname	hostname	after-auzix-native-container
137	app-request	requested-profile	htop	htop	after-auzix-native-container
138	app-request	requested-profile	ifupdown	ifupdown	after-auzix-native-container
139	app-request	requested-profile	imagemagick	imagemagick	after-auzix-native-container
140	app-request	requested-profile	inetutils-telnet	inetutils-telnet	after-auzix-native-container
141	app-request	requested-profile	init	init	after-auzix-native-container
142	app-request	requested-profile	initramfs-tools	initramfs-tools	after-auzix-native-container
143	app-request	requested-profile	init-system-helpers	init-system-helpers	after-auzix-native-container
144	app-request	requested-profile	inkscape	inkscape	after-auzix-native-container
145	app-request	requested-profile	installation-report	installation-report	after-auzix-native-container
146	app-request	requested-profile	intel-microcode	intel-microcode	after-auzix-native-container
147	app-request	requested-profile	iproute2	iproute2	after-auzix-native-container
148	app-request	requested-profile	iputils-ping	iputils-ping	after-auzix-native-container
149	app-request	requested-profile	iw	iw	after-auzix-native-container
150	app-request	requested-profile	jq	jq	after-auzix-native-container
151	app-request	requested-profile	keyboard-configuration	keyboard-configuration	after-auzix-native-container
152	app-request	requested-profile	x11-xkb-utils	x11-xkb-utils	after-auzix-native-container
153	app-request	requested-profile	xkb-data	xkb-data	after-auzix-native-container
154	app-request	requested-profile	kio6	kio6	after-auzix-native-container
155	app-request	requested-profile	kitty	kitty	after-auzix-native-container
156	app-request	requested-profile	kmod	kmod	after-auzix-native-container
157	app-request	requested-profile	krb5-locales	krb5-locales	after-auzix-native-container
158	app-request	requested-profile	l3afpad	l3afpad	after-auzix-native-container
159	app-request	requested-profile	laptop-detect	laptop-detect	after-auzix-native-container
160	app-request	requested-profile	less	less	after-auzix-native-container
161	app-request	requested-profile	libabw-0.1-1	libabw-0.1-1	after-auzix-native-container
162	app-request	requested-profile	libacl1	libacl1	after-auzix-native-container
163	app-request	requested-profile	libapparmor1	libapparmor1	after-auzix-native-container
164	app-request	requested-profile	libeet-bin	libeet-bin	after-auzix-native-container
165	app-request	requested-profile	libapt-pkg7.0	libapt-pkg7.0	after-auzix-native-container
166	app-request	requested-profile	libattr1	libattr1	after-auzix-native-container
167	app-request	requested-profile	libaudit1	libaudit1	after-auzix-native-container
168	app-request	requested-profile	libaudit-common	libaudit-common	after-auzix-native-container
169	app-request	requested-profile	libblkid1	libblkid1	after-auzix-native-container
170	app-request	requested-profile	libbpf1	libbpf1	after-auzix-native-container
171	app-request	requested-profile	libbsd0	libbsd0	after-auzix-native-container
172	app-request	requested-profile	libbz2-1.0	libbz2-1.0	after-auzix-native-container
173	app-request	requested-profile	libc6	libc6	after-auzix-native-container
174	app-request	requested-profile	libcap2	libcap2	after-auzix-native-container
175	app-request	requested-profile	libcap2-bin	libcap2-bin	after-auzix-native-container
176	app-request	requested-profile	libcap-ng0	libcap-ng0	after-auzix-native-container
177	app-request	requested-profile	libc-bin	libc-bin	after-auzix-native-container
178	app-request	requested-profile	libcdr-0.1-1	libcdr-0.1-1	after-auzix-native-container
179	app-request	requested-profile	libcom-err2	libcom-err2	after-auzix-native-container
180	app-request	requested-profile	libcrypt1	libcrypt1	after-auzix-native-container
181	app-request	requested-profile	libdb5.3t64	libdb5.3t64	after-auzix-native-container
182	app-request	requested-profile	libdebconfclient0	libdebconfclient0	after-auzix-native-container
183	app-request	requested-profile	libe-book-0.1-1	libe-book-0.1-1	after-auzix-native-container
184	app-request	requested-profile	libedit2	libedit2	after-auzix-native-container
185	app-request	requested-profile	libelf1t64	libelf1t64	after-auzix-native-container
186	app-request	requested-profile	libepubgen-0.1-1	libepubgen-0.1-1	after-auzix-native-container
187	app-request	requested-profile	libetonyek-0.1-1	libetonyek-0.1-1	after-auzix-native-container
188	app-request	requested-profile	libext2fs2t64	libext2fs2t64	after-auzix-native-container
189	app-request	requested-profile	libfdisk1	libfdisk1	after-auzix-native-container
190	app-request	requested-profile	libgcc-s1	libgcc-s1	after-auzix-native-container
191	app-request	requested-profile	libgmp10	libgmp10	after-auzix-native-container
192	app-request	requested-profile	libgssapi-krb5-2	libgssapi-krb5-2	after-auzix-native-container
193	app-request	requested-profile	libhogweed6t64	libhogweed6t64	after-auzix-native-container
194	app-request	requested-profile	libidn2-0	libidn2-0	after-auzix-native-container
195	app-request	requested-profile	libjansson4	libjansson4	after-auzix-native-container
196	app-request	requested-profile	libk5crypto3	libk5crypto3	after-auzix-native-container
197	app-request	requested-profile	libkeyutils1	libkeyutils1	after-auzix-native-container
198	app-request	requested-profile	libkmod2	libkmod2	after-auzix-native-container
199	app-request	requested-profile	libkrb5-3	libkrb5-3	after-auzix-native-container
200	app-request	requested-profile	libkrb5support0	libkrb5support0	after-auzix-native-container
201	app-request	requested-profile	liblastlog2-2	liblastlog2-2	after-auzix-native-container
202	app-request	requested-profile	liblocale-gettext-perl	liblocale-gettext-perl	after-auzix-native-container
203	app-request	requested-profile	liblockfile-bin	liblockfile-bin	after-auzix-native-container
204	app-request	requested-profile	liblz4-1	liblz4-1	after-auzix-native-container
205	app-request	requested-profile	liblzma5	liblzma5	after-auzix-native-container
206	app-request	requested-profile	libmd0	libmd0	after-auzix-native-container
207	app-request	requested-profile	libmnl0	libmnl0	after-auzix-native-container
208	app-request	requested-profile	libmount1	libmount1	after-auzix-native-container
209	app-request	requested-profile	libmwaw-0.3-3	libmwaw-0.3-3	after-auzix-native-container
210	app-request	requested-profile	libncursesw6	libncursesw6	after-auzix-native-container
211	app-request	requested-profile	libnettle8t64	libnettle8t64	after-auzix-native-container
212	app-request	requested-profile	libnewt0.52	libnewt0.52	after-auzix-native-container
213	app-request	requested-profile	libnftables1	libnftables1	after-auzix-native-container
214	app-request	requested-profile	libnftnl11	libnftnl11	after-auzix-native-container
215	app-request	requested-profile	libnss-systemd	libnss-systemd	after-auzix-native-container
216	app-request	requested-profile	libnumbertext-data	libnumbertext-data	after-auzix-native-container
217	app-request	requested-profile	libodfgen-0.1-1	libodfgen-0.1-1	after-auzix-native-container
218	app-request	requested-profile	libpam0g	libpam0g	after-auzix-native-container
219	app-request	requested-profile	libpam-modules	libpam-modules	after-auzix-native-container
220	app-request	requested-profile	libpam-modules-bin	libpam-modules-bin	after-auzix-native-container
221	app-request	requested-profile	libpam-runtime	libpam-runtime	after-auzix-native-container
